incident_id,event_id,incident_type,severity,affected_department,estimated_loss,response_time_minutes,root_cause,resolved,resolution_time_minutes
INC197BBAC3,EVTE3708E9F,Cyber Attack,Critical,HR,69673,28,External Factor,No,
INC7ECE4825,EVT12542E18,Transportation Delay,Warning,Quality,4603,25,Security Breach,Yes,167.0
INC92FB8DD6,EVTDF9678C1,Warehouse Accident,Critical,HR,6470,61,Maintenance Issue,No,
INCB4C8CF05,EVT55ED9682,Factory Fire,Critical,Logistics,361550,21,System Failure,Yes,21.0
INCD1350875,EVTDABFCAC7,Factory Fire,Critical,Procurement,394024,51,Maintenance Issue,Yes,95.0
INCEC08DD13,EVT1A738619,Power Failure,Warning,Logistics,68304,68,Environmental Factor,Yes,88.0
INCC72C2427,EVTB2DA4568,Flood,Critical,Logistics,271878,11,Human Error,Yes,59.0
INCFF83793B,EVT2C391455,Power Failure,Critical,Logistics,81854,21,Human Error,No,
INC0DE352FE,EVT631911B3,Machine Failure,Critical,Sales,6841,6,External Factor,Yes,173.0
INC1882C0C4,EVT4952B9F8,Transportation Delay,Warning,Sales,9862,27,Security Breach,Yes,128.0
INC294D3D76,EVT6C548E5A,Server Outage,Critical,Procurement,67946,33,System Failure,Yes,116.0
INCD0A477AC,EVTB250BE3F,Cyber Attack,Critical,Quality,170341,49,Infrastructure Failure,No,
INCF7E96227,EVTE3593891,Server Outage,Critical,Quality,73993,21,Infrastructure Failure,Yes,169.0
INC718A7E71,EVT1299EB93,Flood,Critical,Marketing,39556,23,System Failure,Yes,102.0
INCA23CD4E5,EVTB003B6EE,Warehouse Accident,Critical,Logistics,17476,41,External Factor,Yes,122.0
INC9FF301EB,EVT72E0CC8C,Supplier Bankruptcy,Critical,Quality,6029,19,Environmental Factor,Yes,64.0
INC57397FDA,EVTCC9ABADD,Power Failure,Critical,Manufacturing,90103,5,Environmental Factor,Yes,81.0
INC6773BFA6,EVT6896BBB3,Network Failure,Critical,Quality,70142,27,Supplier Issue,Yes,240.0
