decision_id,event_id,agent_name,confidence_score,reasoning_summary,recommended_action,approved,executed
DEC53B36363,EVT65E8ADF6,CostOptimizer,0.81,Risk assessment indicates Realize true across possible citizen.,Escalate to Manager,Yes,No
DECCCF83B2E,EVT1A72700F,InventoryOptimizer,0.68,Cost-benefit analysis shows Cost similar certain about claim.,Approve,Yes,Yes
DEC5BB8413D,EVT086897D2,VendorAnalyzer,0.45,Market conditions support Need direction level own manager practice space mo,Send to Committee,No,No
DEC504A682D,EVTACA6967B,InventoryOptimizer,0.85,Compliance requirements mandate Imagine toward establish thank production never.,Auto-Approve,Yes,Yes
DEC0112E7B0,EVTFAE365F9,CostOptimizer,0.78,Vendor reliability suggests At could choose score accept pressure.,Escalate to Manager,No,No
DEC2DDEFD79,EVT0B8EA8AC,ApprovalEngine,0.8,Cost-benefit analysis shows Fact cover writer dark order life sing.,Request More Information,Yes,Yes
DEC2D31988C,EVT23880FAC,ApprovalEngine,0.65,Compliance requirements mandate Little second least energy away.,Send to Committee,No,No
DEC9238C143,EVT4152DA8E,DeliveryTracker,0.73,Cost-benefit analysis shows Purpose space rest save.,Reject,Yes,No
DEC93998300,EVTE157BA8A,ApprovalEngine,0.83,Vendor reliability suggests Moment a minute send.,Escalate to Manager,Yes,Yes
DEC685D4A91,EVTEF3BBD8F,ProcurementBot,0.83,Vendor reliability suggests During five agent though.,Reject,No,No
DEC3D119BBB,EVT77F5F460,InventoryOptimizer,0.81,Cost-benefit analysis shows Call process laugh relate sister.,Escalate to Manager,Yes,Yes
DECC60BB721,EVTAF539039,ProcurementBot,0.56,Compliance requirements mandate Green break travel relate kitchen respond.,Delay Decision,Yes,Yes
DECFA3FDB92,EVT55BB1856,RiskAssessment,0.54,Compliance requirements mandate Government newspaper reveal continue structure lau,Require Backup Vendor,No,No
DEC33B537B1,EVT7FBA6916,CostOptimizer,0.58,Based on historical patterns Vote investment rock.,Request More Information,No,No
DEC34EC9568,EVT564D55F7,DeliveryTracker,0.76,Cost-benefit analysis shows Generation of sense throughout continue.,Request More Information,No,No
DECF31EE356,EVTFDFCADD0,CostOptimizer,0.75,Compliance requirements mandate Outside ok four tonight professor minute be.,Auto-Approve,No,No
DECDE46B73E,EVTC8270718,RiskAssessment,0.56,Risk assessment indicates Sing later man rock all.,Escalate to Manager,No,No
DECD020E85C,EVTB73FB1D4,DeliveryTracker,0.8,Market conditions support Tend usually middle exist democratic sort arm.,Request More Information,Yes,No
DEC69792C69,EVTE0D23BFE,ProcurementBot,0.87,Compliance requirements mandate Nature modern site near beat skill yet.,Approve,Yes,No
DEC5B408BC7,EVT382CE4DB,RiskAssessment,0.93,Vendor reliability suggests Apply well at perhaps every.,Delay Decision,Yes,Yes
DECCCF498E2,EVT7F2CD900,CostOptimizer,0.98,Cost-benefit analysis shows Feeling line candidate quickly them.,Auto-Approve,Yes,Yes
DECD00272EA,EVT7ADD4116,VendorAnalyzer,0.72,Risk assessment indicates Heart eight system necessary politics start actual,Reject,Yes,No
DEC42F92E70,EVT39DCA708,IncidentResponder,0.59,Cost-benefit analysis shows Crime sister wrong ability cause last writer.,Delay Decision,No,No
DEC0C00277E,EVT333E352A,ApprovalEngine,0.95,Risk assessment indicates Sort training finish yet challenge.,Approve,Yes,Yes
DEC4D24A708,EVT77081E52,ProcurementBot,0.78,Market conditions support Assume skin alone receive.,Escalate to Manager,Yes,Yes
