po_id,employee_id,vendor_id,approval_status,budget,amount,priority,request_date,approval_date,delivery_date,category
POC5EC9569,EMP940553EF,VNDAADD0D4D,Approved,5636.16,5934.29,Critical,2024-10-07,2024-10-10,2024-10-17,Components
PO3583C946,EMP9FB6A578,VND57CA31A1,Pending,42337.28,43878.18,Normal,2024-08-02,,,Raw Materials
PO767B5EF5,EMP3DD919FD,VND08CE8CA7,Approved,9633.98,9388.5,Normal,2024-04-13,2024-04-16,2024-05-05,Office Supplies
POA254D4B5,EMP7DA3EBA9,VNDD24A1BC5,Approved,39485.49,40978.13,Critical,2024-02-28,2024-03-01,2024-03-13,Office Supplies
POBB175A9D,EMPE2AE14AA,VND34BC34BC,Approved,36613.05,32991.46,Critical,2024-10-23,2024-10-28,2024-11-04,Services
PO7EECF0B2,EMP5281B4E3,VND020FD5AF,Pending,29219.22,32521.13,Normal,2024-05-30,,,Services
PO9A1D1F84,EMPA0478D8A,VND590E7C93,Approved,27513.69,31727.08,Critical,2024-07-26,2024-07-28,2024-08-23,Office Supplies
PO71B9A052,EMPE3261834,VND67D32B2F,Cancelled,39751.04,47649.35,High,2024-09-02,2024-09-03,,Components
POB120F879,EMPEFDCE25E,VND6ACF147A,Approved,41699.6,40387.14,High,2024-08-27,2024-08-30,2024-09-26,Office Supplies
PO12606173,EMP1A58CBD3,VNDD24A1BC5,Approved,36915.0,43943.86,Critical,2024-01-09,2024-01-14,2024-02-08,Equipment
PO84F191A1,EMP3E14909B,VNDDA6D8C81,Approved,33963.5,38322.91,Normal,2024-11-12,2024-11-14,2024-12-08,Office Supplies
PO7442ED79,EMP1DC15C50,VND07F575C8,Approved,1303.25,1588.28,Normal,2024-10-27,2024-10-31,2024-11-10,Services
POF0AA0701,EMP3F4BF325,VND8C1D087C,Rejected,6785.32,6018.16,Normal,2024-10-03,2024-10-04,,Components
PO98F77863,EMP7D70136C,VND79774EB1,Pending,41220.92,39827.69,Normal,2024-09-30,,,Office Supplies
PO1E8DFED7,EMP920DA1BA,VND1306F6E1,Approved,7673.17,6869.51,Normal,2024-08-08,2024-08-11,2024-09-03,Components
POB26116C1,EMP2F38050F,VND08CE8CA7,Approved,38195.2,45482.24,High,2024-09-06,2024-09-07,2024-09-13,Office Supplies
PO3BDDB405,EMP198D1918,VNDF909C443,Pending,53138.55,44550.17,Normal,2024-06-19,,,Raw Materials
PO71E7B9F4,EMP62E7332A,VNDD2BB8334,Approved,11975.73,13438.91,Normal,2024-07-29,2024-07-30,2024-08-27,Equipment
PO8CF2AD54,EMPB85C7E07,VND79774EB1,Approved,1162.46,1112.15,High,2024-03-07,2024-03-12,2024-04-03,Office Supplies
POCB9EAB64,EMP71016495,VND23FDC749,Approved,21259.88,25677.04,Normal,2024-10-28,2024-10-31,2024-11-25,Equipment
PO8F2CD235,EMP42F496F1,VND4520F17A,Pending,11677.37,12763.06,High,2024-03-16,,,Raw Materials
PO655DF866,EMP8663BC22,VNDA0E8AF6C,Rejected,43586.15,36602.61,High,2024-12-08,2024-12-10,,Raw Materials
PO75FA1655,EMP5E46E6EC,VND2AF9B25B,Approved,38083.05,40859.58,Normal,2024-11-05,2024-11-09,2024-12-07,Components
POBCF59224,EMP3D41374F,VND7290C297,Approved,43370.14,41684.47,Normal,2024-05-09,2024-05-12,2024-05-24,Office Supplies
PO19A21C9D,EMP76B90661,VND411B979D,Pending,22334.64,25913.59,Normal,2024-03-09,,,Office Supplies
PO15A35E06,EMP1E9D029D,VND2FE40F33,Approved,37559.66,38654.64,Normal,2024-07-24,2024-07-28,2024-08-07,Office Supplies
